#{"t_start": 1759307281.4268382, "env_id": "None"}
r,l,t,jain,cell_tput_Mb,wasted_prbs
2.47822,2000,4.61908,0.7141611781436007,0.0,0
-13.853152,2000,7.636104,0.80320989349836,0.06636,92
6.16189,2000,11.707382,0.944156658935612,0.130168,57
13.265143,2000,14.866758,0.9391489201562808,0.094368,0
15.324423,2000,17.848145,0.9536144192623476,0.172072,0
9.025467,2000,20.88113,0.8292751044234878,0.089584,71
12.519246,2000,24.913062,0.9571554543423442,0.1082,0
10.804888,2000,27.93997,0.8755101928898249,0.097328,0
13.296877,2000,31.051311,0.9733384698848938,0.146176,0
1.424421,2000,34.127321,0.796067528317127,0.123312,36
-15.031158,2000,37.879496,0.8847070099086436,0.038536,205
14.035127,2000,40.92431,0.8611582439342587,0.085136,0
-0.26618,2000,43.9087,0.7809366718698183,0.082936,180
10.95101,2000,47.301185,0.9558743963722515,0.133752,0
-1.94773,2000,50.994335,0.9258739041616323,0.069488,46
11.198497,2000,54.030881,0.8096281701510553,0.095104,0
3.174331,2000,57.126115,0.7870105227471277,0.106072,0
-2.909795,2000,60.903861,0.8885360419060967,0.088584,105
10.840572,2000,64.306421,0.8861372099982143,0.045592,0
11.75598,2000,67.282193,0.8327141574604583,0.229112,0
-15.031654,2000,70.445504,0.8303621444831963,0.073792,0
13.579096,2000,74.349792,0.8160272515537084,0.161192,30
15.116205,2000,77.376226,0.9714254142753604,0.09868,0
7.793714,2000,80.318563,0.9336309478588409,0.136944,63
-0.5569,2000,83.40355,0.7387626144491702,0.127344,0
-0.83982,2000,87.5506,0.8570146315369098,0.102032,84
16.759808,2000,90.721113,0.9496815226401034,0.113528,49
5.685611,2000,93.697632,0.9129353135503498,0.087216,0
-3.244442,2000,96.690073,0.8828367996398477,0.109536,118
14.619674,2000,100.663221,0.9409774374432365,0.090608,0
1.215235,2000,103.678337,0.899345880786963,0.01896,142
13.630137,2000,106.852608,0.906188780115821,0.100304,4
-4.044555,2000,110.109858,0.7218891277716188,0.14012,42
-9.742988,2000,113.781384,0.7251632532596146,0.099784,0
-4.820869,2000,116.988,0.871121770287018,0.20932,0
0.427413,2000,120.382414,0.8861746630523654,0.0,0
7.47627,2000,124.729415,0.9791099597944162,0.096912,0
15.439905,2000,127.788029,0.8852368166000979,0.103896,0
7.180343,2000,130.821296,0.9316462260919134,0.126152,32
7.375152,2000,133.885263,0.8377650594185594,0.134992,67
8.309548,2000,137.810001,0.8892847471798989,0.049984,0
15.087569,2000,140.755826,0.9685114896024536,0.100848,0
8.354862,2000,143.202922,0.9138255842030004,0.11896,72
-21.990734,2000,146.298148,0.8073650036356647,0.103064,66
14.49001,2000,150.156229,0.972904797668036,0.121776,0
11.116025,2000,153.114105,0.9077563773158187,0.131888,0
1.417571,2000,156.007433,0.8524437276857239,0.149288,41
14.935369,2000,158.935369,0.9373563367969427,0.1778,0
9.815096,2000,162.812895,0.9628089250701567,0.144304,0
-27.230767,2000,165.818978,0.8809220936933532,0.107344,0
12.839913,2000,168.808788,0.9327277997615481,0.124952,0
12.317972,2000,171.900186,0.9472924902958197,0.0918,0
12.134592,2000,175.894042,0.7485132636647956,0.137136,0
14.522932,2000,178.94165,0.850320473977559,0.083776,0
14.263574,2000,182.015558,0.8299798053148354,0.181696,0
13.075544,2000,185.0733,0.8415839541922886,0.1112,0
-5.646667,2000,188.944459,0.9324165946169242,0.154144,3
14.905496,2000,191.990551,0.9285784361417244,0.092064,0
12.632746,2000,195.071198,0.8639598556028565,0.17952,0
7.502449,2000,198.170404,0.9418730436008084,0.03536,59
14.606447,2000,201.867517,0.8183605220315259,0.102312,0
14.346833,2000,204.87461,0.8260283271543457,0.1308,0
14.425565,2000,207.847095,0.8491212668599984,0.197968,11
12.743708,2000,211.020387,0.9289242884024667,0.199696,0
